end,simple_time,filter_time,simplecount_time,filtercount_time,simplecount,filtercount
2500000,3.7961111068725586,1.530339002609253,0.053999900817871094,0.4362189769744873,150134,5569
5000000,5.401773929595947,2.0266799926757812,0.08655190467834473,0.6059458255767822,228415,7345
7500000,6.400830984115601,2.5469489097595215,0.10006284713745117,0.7383241653442383,266708,8703
10000000,7.491436958312988,3.022304058074951,0.11889195442199707,0.8611831665039062,315875,10303
12500000,9.119456052780151,3.846467971801758,0.12897801399230957,1.0736119747161865,377147,12731
15000000,9.798811912536621,4.142108917236328,0.16770410537719727,1.1183171272277832,394207,13161
17500000,11.807553052902222,5.077253103256226,0.19769883155822754,1.3558309078216553,471816,16041
20000000,12.983721017837524,5.599424123764038,0.20132708549499512,1.5325419902801514,511190,17657
22500000,14.731340885162354,6.274387836456299,0.22312402725219727,1.6690070629119873,570339,20001
25000000,15.658303022384644,6.853007078170776,0.23673796653747559,1.8313701152801514,618876,21824
